,address,admin_ward,bite_number_ratings,bite_user_rating,facilities,last_scraped,latitude,longitude,name,nearby_train_stations,nearby_tube_stations,parliamentary_constituency,postcode,source_pub_id,source_url,website
0,"66 Acton Street, London, London, London, N5 2NH",,,,[''],1498830859,,,The Queen's Head,[],[],,N5 2NH,42045,http://www.beerintheevening.com/pubs/s/42/42045/Queens_Head/London,http://www.queensheadlondon.com
1,"66 Acton Street, London, London, London, N5 2NH",,2.0,6.5,[''],1498830859,,,The Queen's Head,[],[],,N5 2NH,42506,http://www.beerintheevening.com/pubs/s/42/42506/Queens_Head/London,http://www.queensheadlondon.com
2,"66 Acton Street, London, London, N5 2NH",,4.0,8.8,"['Real ale', 'Wireless internet access']",1498830859,,,The Queen's Head,[],"[{'name': 'Canonbury', 'distance': '0.1 miles'}, {'name': 'Highbury and Islington', 'distance': '0.5 miles'}, {'name': 'Dalston Kingsland', 'distance': '0.9 miles'}]",,N5 2NH,42041,http://www.beerintheevening.com/pubs/s/42/42041/Queens_Head/London,http://www.queensheadlondon.com
3,"66 Acton Street, London, London, London, N5 2NH",,2.0,6.0,[''],1498830859,,,The Queen's Head,[],[],,N5 2NH,42164,http://www.beerintheevening.com/pubs/s/42/42164/Queens_Head/London,http://www.queensheadlondon.com
4,"66 Acton Street, London, London, London, N5 2NH",,2.0,6.5,[''],1498830859,,,The Queen's Head,[],[],,N5 2NH,42167,http://www.beerintheevening.com/pubs/s/42/42167/Queens_Head/London,http://www.queensheadlondon.com
5,"66 Acton Street, London, N5 2NH",,,,[''],1498830859,,,The Queen's Head,[],"[{'name': 'Canonbury', 'distance': '0.1 miles'}, {'name': 'Highbury and Islington', 'distance': '0.5 miles'}, {'name': 'Dalston Kingsland', 'distance': '0.9 miles'}]",,N5 2NH,42043,http://www.beerintheevening.com/pubs/s/42/42043/Queens_Head/London,http://www.queensheadlondon.com
6,"66 Acton Street, London, London, London, N5 2NH",,2.0,7.0,[''],1498830859,,,The Queen's Head,[],"[{'name': 'Canonbury', 'distance': '0.1 miles'}, {'name': 'Highbury and Islington', 'distance': '0.5 miles'}, {'name': 'Dalston Kingsland', 'distance': '0.9 miles'}]",,N5 2NH,42511,http://www.beerintheevening.com/pubs/s/42/42511/Queens_Head/London,http://www.queensheadlondon.com
7,"149 Grafton Road, Kentish Town, London, London, NW5 4AY",Gospel Oak,,,"['Live music', 'TV', 'Jukebox', 'Pool table', 'Fruit machines']",1498830859,51.5508883116266,-0.149984066277287,The Mamelon Tower,[],"[{'name': 'Gospel Oak', 'distance': '0.3 miles'}, {'name': 'Kentish Town West', 'distance': '0.3 miles'}, {'name': 'Kentish Town', 'distance': '0.5 miles'}]",Holborn and St Pancras,NW5 4AY,31954,http://www.beerintheevening.com/pubs/s/31/31954/Mamelon_Tower/London,
8,"58 Millbank, London, SW1P 4RW",,12.0,4.3,"['TV (For tennis', 'cricket and Rugby)', 'Food served (From 8.30am-10pm mon -fri. Sat 10am-10pm and Sun 11am-9.30pm)', 'Sunday roast', 'Real ale (Youngs PA ordinary', 'SPA special', 'Waggle Dance and Wells and Youngs Bombardier)', 'Riverside location (Upstairs drinking and dining with gorgeous views)', 'Outside seating', 'Dogs allowed', 'Credit cards accepted (All major credit cards)', 'Smoking area', 'Coach parties welcome']",1498830859,,,Morpeth Arms,[],[],,SW1P 4RW,31520,http://www.beerintheevening.com/pubs/s/31/31520/Morpeth_Arms/London,
9,"47, Chiswell Street, London, London, EC1Y 4SB",,12.0,2.8,['Cocktails'],1498830859,,,The Parker McMillan,[],"[{'name': 'Moorgate', 'distance': '0.2 miles'}, {'name': 'Barbican', 'distance': '0.3 miles'}, {'name': 'Old Street', 'distance': '0.4 miles'}]",,EC1Y 4SB,29847,http://www.beerintheevening.com/pubs/s/29/29847/Parker_McMillan/London,
10,"194 Southgate Road, London, London, N1 3HT",,2.0,6.5,[''],1498830859,,,The Hunter S,[],[],,N1 3HT,42585,http://www.beerintheevening.com/pubs/s/42/42585/Hunter_S/London,
11,"194 Southgate Road, London, London, N1 3HT",,,,[''],1498830859,,,The Hunter S,[],[],,N1 3HT,42574,http://www.beerintheevening.com/pubs/s/42/42574/Hunter_S/London,
12,"19 -23 Oxford Street, London, W1D 2DN",,6.0,4.8,[''],1498830859,,,The Metro Club,[],"[{'name': 'Tottenham Court Road', 'distance': '0 miles'}, {'name': 'Goodge Street', 'distance': '0.4 miles'}, {'name': 'Leicester Square', 'distance': '0.4 miles'}]",,W1D 2DN,31002,http://www.beerintheevening.com/pubs/s/31/31002/Metro_Club/London,
13,"194 Southgate Road, London, London, N1 3HT",,,,[''],1498830859,,,The Hunter S,[],"[{'name': 'Dalston Kingsland', 'distance': '0.4 miles'}, {'name': 'Canonbury', 'distance': '0.5 miles'}, {'name': 'Highbury and Islington', 'distance': '0.9 miles'}]",,N1 3HT,42577,http://www.beerintheevening.com/pubs/s/42/42577/Hunter_S/London,
14,"452 Finchley Road, London, NW11 8DG",,3.0,6.7,"['Live music', 'TV', 'Karaoke', 'Sunday roast', 'Real ale', 'Cocktails', 'Outside seating', 'Dogs allowed', 'Children allowed', 'Late licence', 'Credit cards accepted', 'Smoking area', 'Function room for hire', 'Wireless internet access']",1498830860,,,The Castle,[],[],,NW11 8DG,38960,http://www.beerintheevening.com/pubs/s/38/38960/Castle/London,http://www.thecastlefinchleyroad.com
15,"194 Southgate Road, London, N1 3HT",,,,[''],1498830860,,,The Hunter S,[],[],,N1 3HT,42565,http://www.beerintheevening.com/pubs/s/42/42565/Hunter_S/London,
16,"1 Harwood Terrace, Fulham, London, SW6 2AF",,6.0,7.8,"['Food served', 'Sunday roast', 'Real ale', 'Outside seating', 'Dogs allowed', 'Children allowed', 'Late licence', 'Credit cards accepted', 'Smoking area', 'Function room for hire', 'Wireless internet access']",1498830860,,,The Rose,[],[],,SW6 2AF,38958,http://www.beerintheevening.com/pubs/s/38/38958/Rose/London,
17,"Blackbird Hill, London, London, nw9 8rs",,1.0,7.0,[''],1498830860,,,Flyers Bar,[],[],,,45521,http://www.beerintheevening.com/pubs/s/45/45521/Flyers_Bar/London,
18,"148 Queen Victoria St, London, London, EC4V 4BY",,21.0,6.6,"['TV', 'Sky TV', 'Big screen', 'Fruit machines', 'Quiz machines', 'Food served', 'Real ale', 'Late licence', 'Credit cards accepted', 'Cash machine', 'Function room for hire', 'Wireless internet access', 'Air conditioning', 'Coach parties welcome']",1498830860,,,The Cos Bar,[],"[{'name': 'Blackfriars', 'distance': '0.1 miles'}, {'name': 'St. Pauls', 'distance': '0.3 miles'}, {'name': 'Mansion House', 'distance': '0.4 miles'}]",,EC4V 4BY,29886,http://www.beerintheevening.com/pubs/s/29/29886/Cos_Bar/London,
19,"183 tottenham court road, Bloomsbury, london, w1t 7pe",,3.0,6.7,"['Live music', 'TV', 'Sky TV', 'Big screen', 'Karaoke (EVERY THURSDAY NIGHTS)', 'Food served', 'Gluten free meals available', 'Cocktails', 'Outside seating', 'Children allowed', 'Late licence', 'Credit cards accepted', 'Car park', 'Smoking area', 'Function room for hire', 'Wireless internet access', 'Air conditioning', 'Coach parties welcome', 'Disabled access']",1498830860,,,Bar @ TCR,[],[],,,38957,http://www.beerintheevening.com/pubs/s/38/38957/Bar_TCR/london,http://www.bar-tcr.co.uk
20,"27a Old Bailey, London, EC4M 7HS",,4.0,5.2,[''],1498830860,,,Chambers Bar,[],"[{'name': 'Blackfriars', 'distance': '0.2 miles'}, {'name': 'St. Pauls', 'distance': '0.2 miles'}, {'name': 'Farringdon', 'distance': '0.4 miles'}]",,EC4M 7HS,5921,http://www.beerintheevening.com/pubs/s/59/5921/Chambers_Bar/City_Of_London,
21,"14 Lime Street, City of London, London, EC3M 7AN",,,,[''],1498830860,,,The Bunch of Grapes Inn,[],"[{'name': 'Monument', 'distance': '0.2 miles'}, {'name': 'Bank', 'distance': '0.3 miles'}, {'name': 'Cannon Street', 'distance': '0.3 miles'}]",,EC3M 7AN,37187,http://www.beerintheevening.com/pubs/s/37/37187/Bunch_of_Grapes_Inn/City_of_London,
