import_offset,address,admin_ward,bite_number_ratings,bite_user_rating,facilities,keywords,last_scraped,latitude,longitude,name,nearby_train_stations,nearby_tube_stations,parliamentary_constituency,postcode,source_pub_id,source_url,website
0,"66 Acton Street, London, London, London, N5 2NH",Mildmay,,,,,1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],,Islington North,N5 2NH,42045,http://www.beerintheevening.com/pubs/s/42/42045/Queens_Head/London,http://www.queensheadlondon.com
1,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,6.5,,,1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],,Islington North,N5 2NH,42506,http://www.beerintheevening.com/pubs/s/42/42506/Queens_Head/London,http://www.queensheadlondon.com
2,"66 Acton Street, London, London, N5 2NH",Mildmay,4.0,8.8,Real ale;Wireless internet access,pub: 4;beers: 3;post: 2;ive: 2;well: 2;without: 2;page: 2;street: 1;thast: 1;stumbled: 1;canonbury: 1;near: 1;periodic: 1;station: 1;opted: 1,1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],Canonbury;Highbury and Islington;Dalston Kingsland,Islington North,N5 2NH,42041,http://www.beerintheevening.com/pubs/s/42/42041/Queens_Head/London,http://www.queensheadlondon.com
3,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,6.0,,,1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],,Islington North,N5 2NH,42164,http://www.beerintheevening.com/pubs/s/42/42164/Queens_Head/London,http://www.queensheadlondon.com
4,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,6.5,,,1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],,Islington North,N5 2NH,42167,http://www.beerintheevening.com/pubs/s/42/42167/Queens_Head/London,http://www.queensheadlondon.com
5,"66 Acton Street, London, N5 2NH",Mildmay,,,,kings: 1;station: 1;near: 1;canonbury: 1;listed: 1;cross: 1;surprised: 1,1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],Canonbury;Highbury and Islington;Dalston Kingsland,Islington North,N5 2NH,42043,http://www.beerintheevening.com/pubs/s/42/42043/Queens_Head/London,http://www.queensheadlondon.com
6,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,7.0,,,1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],Canonbury;Highbury and Islington;Dalston Kingsland,Islington North,N5 2NH,42511,http://www.beerintheevening.com/pubs/s/42/42511/Queens_Head/London,http://www.queensheadlondon.com
7,"149 Grafton Road, Kentish Town, London, London, NW5 4AY",Gospel Oak,,,Live music;TV;Jukebox;Pool table;Fruit machines,times: 2;parties: 1;piano: 1;interior: 1;spacious: 1;pub: 1;noted: 1;tv: 1;past: 1;corner: 1;beer: 1;large: 1;years: 1;looked: 1;paid: 1,1498830859,51.5508883116266,-0.149984066277287,The Mamelon Tower,[],Gospel Oak;Kentish Town West;Kentish Town,Holborn and St Pancras,NW5 4AY,31954,http://www.beerintheevening.com/pubs/s/31/31954/Mamelon_Tower/London,
8,"58 Millbank, London, SW1P 4RW",Vincent Square,12.0,4.3,TV;cricket and Rugby);Food served;Sunday roast;Real ale;SPA special;Waggle Dance and Wells and Youngs Bombardier);Riverside location;Outside seating;Dogs allowed;Credit cards accepted;Smoking area;Coach parties welcome,pub: 8;smaller: 3;two: 3;old: 3;traditional: 3;much: 3;room: 3;years: 2;food: 2;white: 2;good: 2;red: 2;building: 2;bombardier: 2;thames: 2,1498830859,51.4893054369311,-0.128869034480349,Morpeth Arms,[],,Cities of London and Westminster,SW1P 4RW,31520,http://www.beerintheevening.com/pubs/s/31/31520/Morpeth_Arms/London,
9,"47, Chiswell Street, London, London, EC1Y 4SB",Bunhill,12.0,2.8,Cocktails,place: 8;venue: 5;mcmillan: 4;sort: 4;parker: 4;poster: 4;staff: 4;scared: 3;nice: 3;back: 3;find: 3;bar: 3;lanky: 3;drinks: 3;fantastic: 3,1498830859,51.521118711398,-0.0918892550747169,The Parker McMillan,[],Moorgate;Barbican;Old Street,Islington South and Finsbury,EC1Y 4SB,29847,http://www.beerintheevening.com/pubs/s/29/29847/Parker_McMillan/London,
