,address,bite_number_ratings,bite_user_rating,facilities,last_scraped,name,nearby_train_stations,nearby_tube_stations,source_pub_id,source_url,website
0,"66 Acton Street, London, London, London, N5 2NH",2.0,6.0,[''],1498587736,The Queen's Head,[],[],42164,http://www.beerintheevening.com/pubs/s/42/42164/Queens_Head/London,http://www.queensheadlondon.com
1,"66 Acton Street, London, London, London, N5 2NH",2.0,6.5,[''],1498587736,The Queen's Head,[],[],42506,http://www.beerintheevening.com/pubs/s/42/42506/Queens_Head/London,http://www.queensheadlondon.com
2,"66 Acton Street, London, London, London, N5 2NH",2.0,7.0,[''],1498587736,The Queen's Head,[],"[{'distance': '0.1 miles', 'name': 'Canonbury'}, {'distance': '0.5 miles', 'name': 'Highbury and Islington'}, {'distance': '0.9 miles', 'name': 'Dalston Kingsland'}]",42511,http://www.beerintheevening.com/pubs/s/42/42511/Queens_Head/London,http://www.queensheadlondon.com
3,"58 Millbank, London, SW1P 4RW",12.0,4.3,"['TV (For tennis', 'cricket and Rugby)', 'Food served (From 8.30am-10pm mon -fri. Sat 10am-10pm and Sun 11am-9.30pm)', 'Sunday roast', 'Real ale (Youngs PA ordinary', 'SPA special', 'Waggle Dance and Wells and Youngs Bombardier)', 'Riverside location (Upstairs drinking and dining with gorgeous views)', 'Outside seating', 'Dogs allowed', 'Credit cards accepted (All major credit cards)', 'Smoking area', 'Coach parties welcome']",1498587736,Morpeth Arms,[],[],31520,http://www.beerintheevening.com/pubs/s/31/31520/Morpeth_Arms/London,
4,"47, Chiswell Street, London, London, EC1Y 4SB",12.0,2.8,['Cocktails'],1498587736,The Parker McMillan,[],"[{'distance': '0.2 miles', 'name': 'Moorgate'}, {'distance': '0.3 miles', 'name': 'Barbican'}, {'distance': '0.4 miles', 'name': 'Old Street'}]",29847,http://www.beerintheevening.com/pubs/s/29/29847/Parker_McMillan/London,
5,"19 -23 Oxford Street, London, W1D 2DN",6.0,4.8,[''],1498587736,The Metro Club,[],"[{'distance': '0 miles', 'name': 'Tottenham Court Road'}, {'distance': '0.4 miles', 'name': 'Goodge Street'}, {'distance': '0.4 miles', 'name': 'Leicester Square'}]",31002,http://www.beerintheevening.com/pubs/s/31/31002/Metro_Club/London,
6,"66 Acton Street, London, London, London, N5 2NH",2.0,6.5,[''],1498587736,The Queen's Head,[],[],42167,http://www.beerintheevening.com/pubs/s/42/42167/Queens_Head/London,http://www.queensheadlondon.com
7,"66 Acton Street, London, London, London, N5 2NH",,,[''],1498587736,The Queen's Head,[],[],42045,http://www.beerintheevening.com/pubs/s/42/42045/Queens_Head/London,http://www.queensheadlondon.com
8,"66 Acton Street, London, N5 2NH",,,[''],1498587736,The Queen's Head,[],"[{'distance': '0.1 miles', 'name': 'Canonbury'}, {'distance': '0.5 miles', 'name': 'Highbury and Islington'}, {'distance': '0.9 miles', 'name': 'Dalston Kingsland'}]",42043,http://www.beerintheevening.com/pubs/s/42/42043/Queens_Head/London,http://www.queensheadlondon.com
9,"194 Southgate Road, London, London, N1 3HT",2.0,6.5,[''],1498587736,The Hunter S,[],[],42585,http://www.beerintheevening.com/pubs/s/42/42585/Hunter_S/London,
